,
{ "UtcTime": "2024-11-07T12:43:07.655Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"RelayToken": "Output_1"},"Data":{"LogicalState": "inactive"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"RelayToken": "Output_2"},"Data":{"LogicalState": "inactive"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"InputToken": "Input_1"},"Data":{"LogicalState": "false"}},
{ "UtcTime": "2024-11-07T12:39:08.932Z","Source":{"VideoSource": "1","Rule": "Occupancy 3"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:49:27.834Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:41:26.675Z","Source":{"VideoSource": "1","Rule": "Object in field 1"},"Data":{"IsInside": "true"}},
{ "UtcTime": "2024-11-07T12:41:26.675Z","Source":{"Source": "1"},"Data":{"State": "true"}},
{ "UtcTime": "2024-11-07T12:43:07.655Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:49:29.960Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "9"}},
{ "UtcTime": "2024-11-07T12:49:30.961Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:49:33.035Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:49:35.161Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:49:36.169Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:49:37.169Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:49:38.229Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:49:39.299Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:49:40.365Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:49:41.427Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:49:42.428Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:49:43.429Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:49:44.492Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:49:45.505Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:49:47.565Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:49:48.629Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:49:49.697Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:49:50.758Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:49:51.764Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:49:52.765Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:49:53.825Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:49:55.158Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:49:56.162Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:49:57.431Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "1"}},
{ "UtcTime": "2024-11-07T12:49:58.450Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:49:59.498Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:50:00.567Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:50:01.637Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:50:02.697Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:50:03.710Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:50:04.963Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:50:06.029Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:50:07.046Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:50:09.263Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:50:10.302Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:50:11.363Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
